mass-spectrometry	NN_mass NN_spectrometry
JJ_new NN_product NN_development	NP_new NN_product NP_development
JJ_new NN_product NN_development	JJ_new NN_production NP_development
JJ_new NN_product NN_development	JJ_new NP_product NP_development
JJ_new NN_product NN_development	NP_new NN_production NP_development
JJ_new NN_product NN_development	NP_new NP_product NP_development
JJ_new NN_venture	NP_new NN_venture
NP_planning NP_analyst	NN_planning NP_analyst
NP_planning NP_analyst	NP_planning NP_analysis
NP_planning NP_analyst	NN_planning NN_analyst
NP_planning NP_analyst	NN_planning NP_analysis
NP_planning NP_analyst	NN_planning NN_analysis
NP_planning NP_analyst	NP_planning NN_analysis
NP_planning NP_analyst	NN_planning analysis
NP_planning NP_analyst	NP_planning analysis
NN_planning CC_and	NP_planning CC_and
NP_planning NP_manager	NN_planning NP_manager
NP_planning NP_manager	NP_planning NN_manager
NP_planning NP_manager	NN_planning NN_manager
NN_product CC_and	NN_production CC_and
NN_product CC_and	NP_product CC_and
NN_product NN_development	NN_production NN_development
NN_product NN_development	NP_product NN_development
NN_product NN_development	NN_product NP_development
NN_product NN_development	NN_production NP_development
NN_product NN_development	NP_product NP_development
NN_product NN_line	NN_production NN_line
NN_product NN_line	NP_product NN_line
NN_profit NN_planning	NN_profit NP_planning
NN_range NN_planning CC_and	NN_range NP_planning CC_and
NN_research CC_and	NP_research CC_and
JJ_responsible IN_for	responsible IN_for
JJ_responsible IN_for DT_the	responsible IN_for DT_the
JJ_senior NP_financial	NP_senior NP_financial
JJ_senior NP_financial	NP_senior JJ_financial
JJ_senior NP_financial NN_analyst	JJ_senior NP_financial NP_analysis
JJ_senior NP_financial NN_analyst	JJ_senior NP_financial NN_analysis
JJ_senior NP_financial NN_analyst	JJ_senior JJ_financial NP_analyst
JJ_senior NP_financial NN_analyst	NP_senior JJ_financial NN_analyst
JJ_senior NP_financial NN_analyst	NP_senior NP_financial NP_analysis
JJ_senior NP_financial NN_analyst	NP_senior NP_financial NN_analysis
JJ_senior NP_financial NN_analyst	NP_senior JJ_financial NP_analyst
JJ_senior NP_financial NN_analyst	JJ_senior JJ_financial NP_analysis
JJ_senior NP_financial NN_analyst	JJ_senior JJ_financial NN_analysis
JJ_senior NP_financial NN_analyst	JJ_senior NP_financial analysis
JJ_senior NP_financial NN_analyst	NP_senior JJ_financial NP_analysis
JJ_senior NP_financial NN_analyst	NP_senior JJ_financial NN_analysis
JJ_senior NP_financial NN_analyst	NP_senior NP_financial analysis
JJ_senior NP_financial NN_analyst	JJ_senior JJ_financial analysis
JJ_senior NP_financial NN_analyst	NP_senior JJ_financial analysis
JJ_senior NN_management	NP_senior NN_management
JJ_senior NN_management	JJ_senior NP_management
JJ_senior NN_management	NP_senior NP_management
JJ_short CC_and JJ_long NN_range	JJ_short CC_and NP_long NN_range
JJ_short CC_and JJ_long NN_range	JJ_short CC_and JJ_long NP_range
JJ_short CC_and JJ_long NN_range	JJ_short CC_and NP_long NP_range
JJ_short NN_range NN_planning	JJ_short NN_range NP_planning
JJ_special NN_project	JJ_special NP_project
JJ_strategic CC_and	NN_strategy CC_and
JJ_strategic CC_and	NP_strategic CC_and
JJ_strategic NN_planning CC_and	NN_strategy NN_planning CC_and
JJ_strategic NN_planning CC_and	NP_strategic NN_planning CC_and
JJ_strategic NN_planning CC_and	JJ_strategic NP_planning CC_and
JJ_strategic NN_planning CC_and	NN_strategy NP_planning CC_and
JJ_strategic NN_planning CC_and	NP_strategic NP_planning CC_and
JJ_strategic NN_plan	NN_strategy NN_plan
JJ_strategic NN_plan	NP_strategic NN_plan
NN_variance NN_analysis	NN_variance analysis
NN_variance NN_analysis	NN_variance NN_analyst
NN_variance NN_analysis	NN_variance NP_analyst
NN_variance NN_analysis	NN_variance NP_analysis
